시장명,소재지,위도,경도,점포수,종사자,형태,등록,개설연도
중앙시장 활성화구역,대전 동구 대전로 783,36.3295329,127.4331895,"1,256","1,256",시장,등록,2007
중앙메가프라자,대전 동구 주앙로 200번길 99,36.3267058,127.4339741,4,166,시장,등록,1973
신중앙,대전 동구 중앙로 200번길 85,36.3272729,127.4336425,80,131,시장,등록,1975
중앙도매,대전 동구 중앙로 200번길 73,36.3277574,127.4333683,72,224,시장,등록,1973
중앙종합,대전 동구 중앙로 200번길 45,36.3289131,127.4326705,115,120,시장,등록,1985
자유도매,대전 동구 중앙로 200번길 36,36.329188,127.4321005,71,72,시장,등록,1981
대전도매,대전 동구 대전로 791번길 3,36.3301761,127.4329253,15,60,시장,등록,1975
중앙상가,대전 동구 대전로 797번길 37,36.3299091,127.4309914,442,443,시장,인정,1962
전통중앙도매,대전 동구 중앙로 204번길 28-1,36.3295915,127.4324272,115,224,시장,인정,2011
정원시장,대전 동구 중앙로 194번길 33,36.3290804,127.4316602,55,62,시장,인정,2017
중앙쇼핑타워,대전 동구 중앙로 200번길 70,36.3274255,127.432737,42,70,시장,등록,2019
대전상가,대전 동구 충무로 185,36.3217535,127.4366572,37,70,시장,등록,1973
인동,대전 동구 대전천동로 450,36.3222377,127.4363162,49,70,시장,인정,1973
신도,대전 동구 흥룡로 37번길 9,36.3491537,127.4471775,69,69,시장,인정,1973
용운,대전 동구 용운로 170,36.3276411,127.4610215,39,46,시장,인정,1989
가양,대전 동구 매봉로 18,36.3462521,127.4431963,15,57,시장,등록,1979
역전시장 상점가,대전 동구 역전시장길 48,36.3299452,127.4340408,101,124,상점가,등록,1950
홍도시장 상점가,대전 동구 홍도로 9번길 20,36.3468827,127.4291757,90,90,상점가,등록,2016
역전지하상가,대전 동구 대전로 797번길 41,36.3298084,127.4308574,102,102,상점가,등록,1980
오류,대전 중구 계백로 1691-10,36.3215455,127.407436,50,53,시장,인정,1985
태평,대전 중구 수침로55번길 56,36.3259193,127.3977008,155,305,시장,인정,1980
유천,대전 중구 문화로 105번길 113,36.3172138,127.3954926,73,79,시장,인정,1982
문창,대전 중구 대전천서로 279,36.3155904,127.4384922,210,347,시장,인정,1967
산성,대전 중구 대둔산로408번길28,36.3055497,127.3880198,54,60,시장,인정,1991
용두,대전 중구 계룡로881번길 53,36.3233962,127.4146501,27,35,시장,인정,1962
부사,대전 중구 대종로316번길 16,36.3141166,127.4353814,64,185,시장,인정,1990
중앙로지하상점가,대전 중구 중앙로 지하 145,36.3259861,127.4206793,600,595,상점가,등록,1990
문화예술의거리 은행동상점가,대전 중구 중교로 83 3층,36.3271099,127.4285381,290,725,상점가,등록,1970
문화예술의거리 대흥동상점가,대전 중구 중앙로138번길 30,36.326978,127.4252868,61,161,상점가,등록,1990
오류특화상점가,대전 중구 계룡로874번길 12,36.3233288,127.4104786,61,166,상점가,등록,1998
중촌맞춤상점가,대전 중구 동서대로1421번길12,36.3356543,127.4134122,50,60,상점가,등록,1998
충무자동차상점가,대전 중구 충무로 122-1,36.3186165,127.4304265,70,205,상점가,등록,1999
한민,대전 서구 도솔로 308번길 27,36.3346042,127.3840088,240,600,시장,인정,1982
도마큰,대전 서구 도마5길 46,36.316668,127.3812867,494,"1,820",시장,인정,1970
가수원상점가,대전 서구 벌곡로1379번길17-15,36.3035049,127.3529665,105,156,상점가,등록,2007
둔산3동상점가,대전 서구 문정로170번걸 74,36.349324,127.399907,395,985,상점가,인정,1991
유성,대전 유성구 유성대로 730번길 24,36.3577193,127.333944,300,500,시장,무등록,1916
송강,대전 유성구 구즉로 74-7,36.4351312,127.3866595,58,103,시장,등록,2000
송촌,대전 대덕구 동춘당로 83,36.3644789,127.4398996,65,200,시장,등록,2005
중리,대전 대덕구 중리남로40번길 86 201호,36.3647675,127.4275965,213,400,시장,등록,1988
법동,대전 대덕구 계족로608번길 23-1,36.3663311,127.4315365,60,120,시장,등록,1995
신탄진,대전 대덕구석봉로37번길 46-16,36.4493042,127.4267898,110,340,시장,등록,2002
오정동상점가,대전 대덕구 오정로 106,36.3553293,127.4075444,870,2648,상점가,등록,2007
송촌동상점가,대전 대덕구 계족산로 81번길 54,36.3653508,127.439042,720,1240,상점가,등록,2016
